GAUGE	type	tone_sgn	base_x	base_y	head_x	head_y	plot_CD	draw_CD	wafer_CD	cost_wt	GroupName	Mask_size	CD	range_min	range_max	check_status	Model Error	Model CD	Error %	Through Cond. Error	ADI Model CD	ILS Result (1/um)	AI_CD	Gauge Center X	Gauge Center Y	Spec_error
Site_R31_C3	1D	-1	1651554	6837316.8	1651554	6837373.2	135	56.4	44.41	1.5	DRsppitch	pw	60	-2	2	1	-0.94	43.47	2.12	1.97	0	20.5535	50.17	0	0	0
Site_R31_C4	1D	-1	1651554	6833234	1651554	6833176	140	58	44.42	1.5	DRsppitch	pw	60	-2	2	1	-0.73	43.69	1.65	1.47	0	19.1794	50.94	0	0	0
Site_R31_C5	1D	-1	1651554	6829095	1651554	6829035	145	60	43.13	1	DRsppitch	pw	60	-2	2	1	2.1	45.23	4.88	1.19	0	18.52	52.77	0	0	0.10303
Site_R32_C1	1D	-1	1656054	6845656.6	1656054	6845593.4	155	63.2	44.18	1	DRsppitch	pw	60	-2	2	1	1.82	46	4.13	1.11	0	16.528	54.53	0	0	0
Site_R32_C3	1D	-1	1656054	6837311.7	1656054	6837378.3	165	66.6	50.3	1.5	DRsppitch	pw	60	-2	2	1	0.52	50.82	1.04	1.36	0	16.7366	59.25	0	0	0
Site_R32_C4	1D	-1	1656054	6833238.8	1656054	6833171.2	175	67.6	51.62	1.5	DRsppitch	pw	60	-2	2	1	0.95	52.57	1.84	1.64	0	16.648	61.21	0	0	0
Site_R32_C5	1D	-1	1656050	6829132.6	1656050	6828997.4	180	67.6	52.41	1	DRsppitch	pw	60	-2	2	1	-0.04	52.37	0.08	2.66	0	16.5193	61.15	0	0	0
Site_R32_C6	1D	-1	1656054	6824958.6	1656054	6824891.5	190	67.1	50.23	0.5	DRsppitch	pw	60	-2	2	1	2.3	52.53	4.58	2.26	0	20.0516	59.87	0	0	0.30047
Site_R33_C1	1D	-1	1660554	6845592.2	1660554	6845657.8	200	65.6	51.71	1.5	DRsppitch	pw	60	-2	2	1	0.87	52.58	1.69	1.28	0	23.9224	58.42	0	0	0
Site_R33_C2	1D	-1	1660554	6841513.3	1660554	6841456.7	210	56.6	49.99	1.5	DRsppitch	pw	60	-2	2	1	-1.44	48.55	2.87	2.4	0	31.5058	52.23	0	0	0
Site_R33_C3	1D	-1	1660554	6837316.6	1660554	6837373.4	220	56.8	49.53	1.5	DRsppitch	pw	60	-2	2	1	-1.66	47.87	3.35	3.02	0	29.333	52.12	0	0	0
Site_R33_C4	1D	-1	1660554	6833176.2	1660554	6833233.8	230	57.6	49.8	1.5	DRsppitch	pw	60	-2	2	1	-1.82	47.98	3.66	2.85	0	27.2677	52.72	0	0	0
Site_R33_C5	1D	-1	1660554	6829094.3	1660554	6829035.7	240	58.6	49.3	1.5	DRsppitch	pw	60	-2	2	1	-0.72	48.58	1.46	1.54	0	25.6307	53.67	0	0	0
Site_R33_C6	1D	-1	1660554	6824895.2	1660554	6824954.8	250	59.6	46.72	1.5	DRsppitch	pw	60	-2	2	1	2.45	49.17	5.24	1.44	0	23.9439	54.63	0	0	0.448959
Site_R34_C1	1D	-1	1665054	6845655.3	1665054	6845594.7	260	60.6	46.6	1	DRsppitch	pw	60	-2	2	1	2.64	49.24	5.67	1.18	0	22.4058	55.16	0	0	0.641833
Site_R34_C2	1D	-1	1665054	6841515.7	1665054	6841454.3	270	61.4	47.73	1.5	DRsppitch	pw	60	-2	2	1	1.41	49.14	2.96	1.31	0	21.1371	55.45	0	0	0
Site_R34_C3	1D	-1	1665054	6837313	1665054	6837377	290	64	47.91	1.5	DRsppitch	pw	60	-2	2	1	1.82	49.73	3.8	1.16	0	18.8264	56.8	0	0	0
Site_R34_C4	1D	-1	1665054	6833171.7	1665054	6833238.3	310	66.6	50.07	1.5	DRsppitch	pw	60	-2	2	1	1.14	51.21	2.28	1.16	0	18.0324	58.61	0	0	0
Site_R34_C5	1D	-1	1665054	6829099.1	1665054	6829030.9	330	68.2	51.1	1.5	DRsppitch	pw	60	-2	2	1	0.82	51.92	1.6	1.04	0	17.7736	59.5	0	0	0
Site_R35_C1	1D	-1	1669554	6845594	1669554	6845656	390	62	46.32	0	DRsppitch	pw	60	-2	2	1	2.28	48.6	4.92	1.09	0	21.9583	55.04	0	0	0.280338
Site_R35_C2	1D	-1	1669554	6841516	1669554	6841454	410	62	48.26	1.5	DRsppitch	pw	60	-2	2	1	0.91	49.17	1.89	1.31	0	23.5798	55.11	0	0	0
Site_R35_C3	1D	-1	1669554	6837314.9	1669554	6837375	430	60.1	48.33	1.5	DRsppitch	pw	60	-2	2	1	0.42	48.75	0.86	0.7	0	27.6933	53.43	0	0	0
Site_R35_C4	1D	-1	1669554	6833234.9	1669554	6833175.1	450	59.8	47.75	1.5	DRsppitch	pw	60	-2	2	1	0.4	48.15	0.83	1.44	0	26.5531	53.15	0	0	0
Site_R36_C1	1D	-1	1674054	6845655.5	1674054	6845594.5	560	61	45.87	1.5	DRsppitch	pw	60	-2	2	1	1.97	47.84	4.3	3.68	0	22.8754	54.08	0	0	0
Site_R36_C2	1D	-1	1674054	6841454.6	1674054	6841515.3	610	60.7	47.01	1.5	DRsppitch	pw	60	-2	2	1	1.26	48.27	2.68	1.01	0	25.0591	53.92	0	0	0
Site_R36_C3	1D	-1	1674054	6837315.2	1674054	6837374.8	760	59.6	47.93	1.5	DRsppitch	pw	60	-2	2	1	0.005096	47.94	0.01	0.005096	0	23.7156	53.85	0	0	0
Site_R36_C4	1D	-1	1674054	6833234.9	1674054	6833175.1	860	59.8	47.43	1.5	DRsppitch	pw	60	-2	2	1	0.29	47.72	0.61	1.38	0	23.1676	53.81	0	0	0
Site_R36_C6	1D	-1	1674054	6824895	1674054	6824955	1260	60	48.48	1.5	DRsppitch	pw	60	-2	2	1	-0.51	47.97	1.04	1.66	0	23.2576	54.02	0	0	0
Site_R87_C1	2D	1	1903554	6845657.8	1903554	6845593.1	131	64.7	72.21	1.5	five_lines	1D	71	-5	5	1	-0.59	71.62	0.82	0.59	0	19.396	65.2	0	0	0
Site_R87_C3	2D	1	1903554	6837383	1903554	6837307	150	76	90.29	1	five_lines	1D	90	-5	5	1	-1.9	88.39	2.1	1.9	0	17.2526	80.64	0	0	0
Site_R87_C5	2D	1	1903554	6829112.7	1903554	6829017.3	180	95.4	111.36	1.5	five_lines	1D	120	-5	5	1	-0.26	111.1	0.23	0.26	0	18.8247	103.48	0	0	0
Site_R88_C1	2D	1	1908054	6845656.1	1908054	6845594.8	131	61.3	73.47	0.2	five_lines	1D	71	-5	5	1	-2.5	70.97	3.41	2.5	0	21.7696	65.72	0	0	0
Site_R88_C2	2D	1	1908054	6841517.6	1908054	6841452.4	140	65.2	79.32	1.5	five_lines	1D	80	-5	5	1	-1.23	78.09	1.55	1.23	0	20.1421	72.35	0	0	0
Site_R88_C3	2D	1	1908054	6837309.8	1908054	6837380.2	150	70.4	89.97	0	five_lines	1D	90	-5	5	1	-3.55	86.42	3.95	0	0	19.0564	80.1	0	0	0
Site_R88_C4	2D	1	1908054	6833242.7	1908054	6833167.3	160	75.4	97.3	0	five_lines	1D	100	-5	5	1	-6.63	90.67	6.82	0	0	20.0081	84.39	0	0	1.63428
Site_R88_C5	2D	1	1908054	6829109.6	1908054	6829020.4	180	89.2	110.02	1.5	five_lines	1D	120	-5	5	1	-1.84	108.18	1.68	1.84	0	19.642	101.75	0	0	0
Site_R88_C6	2D	1	1908050	6825425	1908050	6824425	210	117.2	223.3	-1	five_lines	1D	150	-5.86	5.86	1	0	0	0	0	0	0	0	0	0	
Site_R89_C1	2D	1	1912533	6845657.8	1912533	6845593.1	131	64.7	71.41	1.5	five_lines	1D	71	-5	5	1	0.29	71.7	0.4	0.29	0	19.3784	65.26	0	0	0
Site_R89_C2	1D	1	1912550	6841985	1912550	6840985	141	72.9	72.56	1	five_lines	vrf	71	-2	2	1	-1.96	70.6	2.7	1.96	0	20.7074	65.19	0	0	0
Site_R89_C4	2D	1	1912554	6833242.1	1912554	6833168.8	161	73.3	72.34	1.5	five_lines	1D	71	-5	5	1	-1.7	70.64	2.34	1.7	0	23.3601	68.01	0	0	0
Site_R85_C1	2D	-1	1894596	6845654.5	1894596	6845595.5	131	59	45.1	0.5	four_lines	1D	60	-5	5	1	0.97	46.07	2.14	0.97	0	21.1257	52.82	0	0	0
Site_R85_C2	2D	-1	1894554	6841516	1894554	6841454.9	136	61.1	49.21	0.5	four_lines	1D	65	-5	5	1	1.29	50.5	2.62	1.29	0	22.6421	56.72	0	0	0
Site_R86_C1	2D	-1	1899054	6845595.1	1899054	6845654.8	131	59.7	47.7	1.5	four_lines	1D	60	-5	5	1	-0.06	47.64	0.13	0.06	0	23.1171	53.28	0	0	0
Site_R86_C2	2D	-1	1899054	6841516.6	1899054	6841454.3	136	62.3	51.12	1	four_lines	1D	65	-5	5	1	0.78	51.9	1.53	0.78	0	24.6647	57.09	0	0	0
Site_R86_C3	2D	-1	1899054	6837312.5	1899054	6837377.5	141	65	55.62	1.5	four_lines	1D	70	-5	5	1	0.86	56.48	1.54	0.86	0	25.8987	61.03	0	0	0
Site_R86_C4	2D	-1	1899054	6833239.4	1899054	6833171.5	146	67.9	60.17	1.5	four_lines	1D	75	-5	5	1	1.25	61.42	2.08	1.25	0	26.0629	65.33	0	0	0
Site_R86_C6	2D	-1	1899054	6824877.4	1899054	6824972.6	191	95.2	109.15	1.5	four_lines	1D	120	-5	5	1	-0.58	108.57	0.53	0.58	0	32.0171	106.03	0	0	0
Site_R109_C1	2D	1	2002554	6845610	2002554	6845640	40	30	71.76	1	inv_den_le	pw	40	-5	5	1	-1.05	70.71	1.47	10.77	0	14.6535	60.05	0	0	0
Site_R109_C2	2D	1	2002554	6841470	2002554	6841500	50	30	84.1	-1	inv_den_le	2D	50	-5	5	1	0	0	0	0	0	0	0	0	0	
Site_R109_C3	2D	1	2002554	6837330.7	2002554	6837360.7	60	30	62.85	0.2	inv_den_le	2D	60	-5	5	1	8.39	71.24	13.35	8.39	0	14.6931	60.61	0	0	3.39126
Site_R109_C5	2D	1	2002554	6829047.5	2002554	6829082.5	100	35	65.67	0	inv_den_le	2D	100	-5	5	1	13.24	78.91	20.16	0	0	15.8894	69.09	0	0	8.23658
Site_R109_C6	2D	1	2002554	6824894.5	2002554	6824955.5	150	61	117.77	1	inv_den_le	2D	150	-5	5	1	3.88	121.65	3.3	3.88	0	15.458	111.31	0	0	0
Site_R110_C1	2D	1	2007054	6845593.8	2007054	6845657.1	71	63.3	56.22	0.5	inv_den_le	2D	71	-5	5	1	4	60.22	7.11	4	0	37.1497	60.45	0	0	0
Site_R110_C2	2D	1	2007054	6841451.6	2007054	6841518.4	80	66.8	60.48	1	inv_den_le	2D	80	-5	5	1	3.31	63.79	5.47	3.31	0	37.1768	63.79	0	0	0
Site_R110_C3	2D	1	2007054	6837308.4	2007054	6837381.6	90	73.2	67.97	1	inv_den_le	2D	90	-5	5	1	1.89	69.86	2.78	1.89	0	35.2465	69.55	0	0	0
Site_R110_C4	2D	1	2007054	6833164.7	2007054	6833245.2	100	80.5	71.47	0.2	inv_den_le	2D	100	-5	5	1	5.79	77.26	8.1	5.79	0	34.4979	76.68	0	0	0.7883
Site_R110_C5	2D	1	2007054	6829017.2	2007054	6829112.8	120	95.6	90.72	0.5	inv_den_le	2D	120	-5	5	1	4.45	95.17	4.91	4.45	0	31.5494	94.22	0	0	0
Site_R110_C6	2D	1	2007054	6824865.8	2007054	6824984.2	150	118.4	120.36	1	inv_den_le	2D	150	-5.92	5.92	1	2.59	122.95	2.16	2.59	0	31.7571	122.06	0	0	0
Site_R21_C1	1D	-1	1606554	6845592.6	1606554	6845657.4	2035	64.8	56.21	1.5	inv_iso	pw	70	-2	2	1	0.52	56.73	0.92	1.11	0	24.6662	61.77	0	0	0
Site_R21_C2	1D	-1	1606554	6841518	1606554	6841452.9	2037	65.1	56.1	1.5	inv_iso	pw	75	-2	2	1	1.21	57.31	2.16	1.2	0	24.7632	62.28	0	0	0
Site_R21_C3	1D	-1	1606554	6837311.2	1606554	6837378.8	2040	67.6	61.25	1.5	inv_iso	pw	80	-2	2	1	0.87	62.12	1.42	1.05	0	25.3932	66.49	0	0	0
Site_R21_C6	1D	-1	1606554	6824885.7	1606554	6824965.2	2047	79.5	80.25	1.5	inv_iso	pw	95	-2	2	1	-0.91	79.34	1.14	1.46	0	31.7588	80.08	0	0	0
Site_R22_C1	1D	-1	1611054	6845584	1611054	6845666	2050	82	84.57	1.5	inv_iso	1D	100	-2	2	1	-1.1	83.47	1.31	1.1	0	32.5823	83.45	0	0	0
Site_R22_C2	1D	-1	1611054	6841441.2	1611054	6841528.8	2055	87.6	92.47	1.5	inv_iso	1D	110	-2	2	1	-0.18	92.29	0.19	0.18	0	34.0595	90.75	0	0	0
Site_R22_C3	1D	-1	1611054	6837296.9	1611054	6837393.1	2060	96.2	105.95	1.5	inv_iso	1D	120	-2	2	1	-0.88	105.07	0.83	0.88	0	35.5954	101.61	0	0	0
Site_R22_C4	1D	-1	1611054	6833153.8	1611054	6833256.2	2065	102.4	114.84	1.5	inv_iso	1D	130	-2.048	2.048	1	-0.99	113.85	0.86	0.99	0	36.6228	109.3	0	0	0
Site_R22_C5	1D	-1	1611054	6829008.9	1611054	6829121.1	2070	112.2	127.58	1.5	inv_iso	1D	140	-2.244	2.244	1	-0.67	126.91	0.52	0.67	0	38.5762	121.12	0	0	0
Site_R22_C6	1D	-1	1611054	6824864.8	1611054	6824985.2	2075	120.4	137.94	1.5	inv_iso	1D	150	-2.408	2.408	1	-1.02	136.92	0.74	1.02	0	40.7971	130.43	0	0	0
Site_R23_C1	1D	-1	1615554	6845560.8	1615554	6845689.2	2080	128.4	145.92	1.5	inv_iso	1D	160	-2.568	2.568	1	-0.08	145.84	0.06	0.08	0	43.0321	138.82	0	0	0
Site_R23_C2	1D	-1	1615554	6841412	1615554	6841558	2090	146	163.67	1.5	inv_iso	1D	180	-2.92	2.92	1	-0.55	163.12	0.34	0.55	0	46.7139	155.12	0	0	0
Site_R23_C3	1D	-1	1615554	6837261.8	1615554	6837428.2	2100	166.4	183.26	1.5	inv_iso	1D	200	-3.328	3.328	1	-1.8	181.46	0.98	1.8	0	46.7282	172.42	0	0	0
Site_R23_C4	1D	-1	1615554	6833112.2	1615554	6833297.8	2110	185.6	201.41	1.5	inv_iso	1D	220	-3.712	3.712	1	-1.86	199.55	0.93	1.86	0	44.5807	189.99	0	0	0
Site_R23_C5	1D	-1	1615554	6828962.5	1615554	6829167.5	2120	205	220.42	1.5	inv_iso	1D	240	-4.1	4.1	1	-1.31	219.11	0.6	1.31	0	44.0002	209.84	0	0	0
Site_R23_C6	1D	-1	1615554	6824808.9	1615554	6825041	2135	232.1	247.11	1.5	inv_iso	1D	270	-4.642	4.642	1	-0.96	246.15	0.39	0.96	0	45.4185	237.3	0	0	0
Site_R24_C1	1D	-1	1620054	6845495.3	1620054	6845754.7	2150	259.4	275.72	1.5	inv_iso	1D	300	-5.188	5.188	1	-2.83	272.89	1.03	2.83	0	44.8808	263.63	0	0	0
Site_R24_C2	1D	-1	1620050	6841791.2	1620050	6841178.8	2175	306.2	320.71	1.5	inv_iso	1D	350	-6.124	6.124	1	-1.33	319.38	0.42	1.33	0	45.1921	310.1	0	0	0
Site_R24_C3	1D	-1	1620054	6837168.7	1620054	6837521.3	2200	352.6	366.04	1.5	inv_iso	1D	400	-7.052	7.052	1	-1.92	364.12	0.52	1.92	0	44.7146	354.68	0	0	0
Site_R24_C4	1D	-1	1620054	6832982.1	1620054	6833427.9	2250	445.8	459.32	1.5	inv_iso	1D	500	-8.916	8.916	1	-2.63	456.69	0.57	2.63	0	44.0914	447.65	0	0	0
Site_R24_C6	1D	-1	1620054	6824566.7	1620054	6825283.3	2400	716.6	729.12	1.5	inv_iso	1D	800	-14.332	14.332	1	-0.54	728.58	0.07	0.54	0	44.4025	719.55	0	0	0
Site_R105_C1	2D	1	1984554.05	6845610	1984554.05	6845640	40	30	77.09	1	inv_iso_le	pw	40	-5	5	1	1.49	78.58	1.93	6.88	0	14.0296	67.05	0	0	0
Site_R105_C2	2D	1	1984554	6841470	1984554.05	6841500	50	30	79.79	1	inv_iso_le	2D	50	-5	5	1	-1.3	78.49	1.63	1.3	0	14.0256	66.95	0	0	0
Site_R105_C3	2D	1	1984554	6837330	1984554	6837360	60	30	81.02	1	inv_iso_le	2D	60	-5	5	1	-1.22	79.8	1.51	1.22	0	14.0611	68.21	0	0	0
Site_R105_C4	2D	1	1984554	6833190	1984554	6833220	80	30	86.99	1	inv_iso_le	2D	80	-5	5	1	-3.7	83.29	4.25	3.7	0	14.0598	71.52	0	0	0
Site_R105_C6	2D	1	1984554	6824893.8	1984554	6824956.2	150	62.4	122.04	1	inv_iso_le	2D	150	-5	5	1	2.79	124.83	2.29	2.79	0	13.7906	112.58	0	0	0
Site_R106_C1	2D	1	1989050	6846125	1989050	6845125	40	58	70.76	1	inv_iso_le	vrf	40	-5	5	1	-1.85	68.91	2.61	1.85	0	16.8919	60.13	0	0	0
Site_R106_C2	2D	1	1989050	6841985	1989050	6840985	50	58	67.64	1	inv_iso_le	vrf	50	-5	5	1	1.27	68.91	1.88	1.27	0	16.8918	60.13	0	0	0
Site_R106_C3	2D	1	1989050	6837845	1989050	6836845	60	58	66.79	1	inv_iso_le	vrf	60	-5	5	1	2.96	69.75	4.43	2.96	0	16.8501	60.93	0	0	0
Site_R106_C4	2D	1	1989050	6833705	1989050	6832705	80	64	75.83	1	inv_iso_le	vrf	80	-5	5	1	-3.2	72.63	4.22	3.2	0	16.7577	63.71	0	0	0
Site_R106_C5	2D	1	1989050	6829565	1989050	6828565	100	79	84.34	1	inv_iso_le	vrf	100	-5	5	1	-0.92	83.42	1.09	0.92	0	18.7206	75.2	0	0	0
Site_R106_C6	2D	1	1989050	6825425	1989050	6824425	150	124	128.4	1	inv_iso_le	vrf	150	-6.2	6.2	1	-2.18	126.22	1.69	2.18	0	16.3142	116.92	0	0	0
Site_R107_C1	2D	1	1993554	6845596.1	1993554	6845654.8	71	58.7	61.35	1	inv_iso_le	2D	71	-5	5	1	1.12	62.47	1.82	1.12	0	34.5786	61.43	0	0	0
Site_R107_C2	2D	1	1993553.95	6841453.9	1993554.05	6841516.1	80	62.2	62.25	1	inv_iso_le	2D	80	-5	5	1	3.58	65.83	5.75	3.58	0	34.9614	64.63	0	0	0
Site_R107_C3	2D	1	1993553.95	6837310.7	1993554	6837379.3	90	68.6	72.12	1	inv_iso_le	2D	90	-5	5	1	-0.28	71.84	0.39	0.28	0	34.3123	70.35	0	0	0
Site_R107_C4	2D	1	1993554	6833167	1993554	6833243	100	76	76.62	1	inv_iso_le	2D	100	-5	5	1	2.53	79.15	3.3	2.53	0	33.0295	77.39	0	0	0
Site_R107_C5	2D	1	1993554	6829022.9	1993554	6829107.1	110	84.2	83.78	1	inv_iso_le	2D	110	-5	5	1	4.13	87.91	4.93	4.13	0	31.5394	85.89	0	0	0
Site_R107_C6	2D	1	1993554	6824867.8	1993554	6824982.2	150	114.4	126.97	1	inv_iso_le	2D	150	-5.72	5.72	1	-2.41	124.56	1.9	2.41	0	30.208	122.5	0	0	0
Site_R108_C1	2D	1	1998054	6845669.9	1998054	6845581	71	88.9	59.92	1	inv_iso_le	2D	71	-5	5	1	0.7	60.62	1.17	0.7	0	37.237	63.45	0	0	0
Site_R108_C2	2D	1	1998054	6841434.8	1998054	6841535.2	80	100.4	63.5	1	inv_iso_le	2D	80	-5.02	5.02	1	2.6	66.1	4.1	2.6	0	36.5307	73.18	0	0	0
Site_R108_C3	2D	1	1998054	6837292.2	1998054	6837397.8	90	105.6	71.58	1	inv_iso_le	2D	90	-5.28	5.28	1	1.8	73.38	2.51	1.8	0	34.7729	80.49	0	0	0
Site_R108_C4	2D	1	1998054	6833149.3	1998054	6833260.7	100	111.4	77.76	1	inv_iso_le	2D	100	-5.57	5.57	1	4.07	81.83	5.23	4.07	0	33.5111	89.09	0	0	0
Site_R108_C5	2D	1	1998054	6829006	1998054	6829124	110	118	87.19	1	inv_iso_le	2D	110	-5.9	5.9	1	4.27	91.46	4.9	4.27	0	35.8294	98.83	0	0	0
Site_R108_C6	2D	1	1998054	6824851.9	1998054	6824998.1	150	146.2	122.32	1	inv_iso_le	2D	150	-7.31	7.31	1	4.37	126.69	3.57	4.37	0	42.0971	133.89	0	0	0
Site_R17_C1	1D	1	1588554	6845660.6	1588554	6845590.3	71	70.3	62.42	1.5	iso	pw	71	-2	2	1	-2.17	60.25	3.47	1.5	0	37.133	61.34	0	0	0.167443
Site_R17_C2	1D	1	1588550	6841555.35	1588550	6841415.55	75	69.9	61.33	1.5	iso	pw	75	-2	2	1	-1.24	60.09	2.02	1.29	0	37.0941	61.17	0	0	0
Site_R17_C3	1D	1	1588554	6837303.2	1588554	6837386.8	80	83.6	64.24	1.5	iso	pw	80	-2	2	1	-0.38	63.86	0.59	1.88	0	40.008	72.26	0	0	0
Site_R17_C4	1D	1	1588550	6833290.95	1588550	6833119.95	85	85.5	66.88	1.5	iso	pw	85	-2	2	1	-0.79	66.09	1.18	1.69	0	39.6271	74.48	0	0	0
Site_R17_C5	1D	1	1588550	6829154.2	1588550	6828975.8	90	89.2	70.88	1.5	iso	pw	90	-2	2	1	0.23	71.11	0.33	1.27	0	39.0498	79.49	0	0	0
Site_R17_C6	1D	1	1588550	6825020.6	1588550	6824829.4	100	95.6	79.44	1.5	iso	pw	100	-2	2	1	-0.45	78.99	0.57	1.09	0	38.1728	87.57	0	0	0
Site_R18_C1	1D	1	1593054	6845573.4	1593054	6845676.5	110	103.1	88.83	1.5	iso	1D	110	-2.062	2.062	1	-0.26	88.57	0.3	0.26	0	38.2159	97.43	0	0	0
Site_R18_C2	1D	1	1593050	6841595.85	1593050	6841374.05	120	110.9	98.79	1.5	iso	1D	120	-2.218	2.218	1	-0.89	97.9	0.9	0.89	0	39.5833	106.97	0	0	0
Site_R18_C3	1D	1	1593054	6837285.4	1593054	6837404.6	130	119.2	108.12	1.5	iso	1D	130	-2.384	2.384	1	-1.38	106.74	1.27	1.38	0	41.4416	115.86	0	0	0
Site_R18_C4	1D	1	1593054	6833141.1	1593054	6833269	140	127.9	117.12	1.5	iso	1D	140	-2.558	2.558	1	-1.1	116.02	0.94	1.1	0	43.2083	125.1	0	0	0
Site_R18_C5	1D	1	1593054	6828996.5	1593054	6829133.5	150	137	125.64	1.5	iso	1D	150	-2.74	2.74	1	-1.6	124.04	1.27	1.6	0	44.4205	133.01	0	0	0
Site_R18_C6	1D	1	1593054	6824851.8	1593054	6824998.2	160	146.4	133.43	1.5	iso	1D	160	-2.928	2.928	1	-0.29	133.14	0.22	0.29	0	44.6061	142.05	0	0	0
Site_R19_C2	1D	1	1597550	6841668.25	1597550	6841301.65	200	183.3	171.85	1.5	iso	1D	200	-3.666	3.666	1	-1.8	170.05	1.05	1.8	0	41.2674	179.24	0	0	0
Site_R19_C3	1D	1	1597550	6837545.2	1597550	6837144.8	220	200.2	190.51	1.5	iso	1D	220	-4.004	4.004	1	-1.81	188.7	0.95	1.81	0	41.2936	198.1	0	0	0
Site_R19_C4	1D	1	1597554	6833092	1597554	6833318	250	226	216.96	1.5	iso	1D	250	-4.52	4.52	1	-1.39	215.57	0.64	1.39	0	43.2095	224.81	0	0	0
Site_R19_C5	1D	1	1597550	6829336.4	1597550	6828793.6	300	271.4	262.27	1.5	iso	1D	300	-5.428	5.428	1	-1.23	261.04	0.47	1.23	0	43.5625	270.22	0	0	0
Site_R20_C1	1D	1	1602054	6845443.4	1602054	6845806.6	400	363.2	355.16	1.5	iso	1D	400	-7.264	7.264	1	-3.83	351.33	1.08	3.83	0	44.3001	360.49	0	0	0
Site_R20_C2	1D	1	1602054	6841280.6	1602054	6841689.4	450	408.8	397.19	1.5	iso	1D	450	-8.176	8.176	1	-0.58	396.61	0.15	0.58	0	45.0976	405.71	0	0	0
Site_R20_C3	1D	1	1602054	6837117.9	1602054	6837572.1	500	454.2	444.75	1.5	iso	1D	500	-9.084	9.084	1	-3.11	441.64	0.7	3.11	0	44.2408	450.74	0	0	0
Site_R20_C4	1D	1	1602050	6833705	1602050	6832705	600	543.8	532.8	1.5	iso	1D	600	-10.876	10.876	1	-1.11	531.69	0.21	1.11	0	44.3082	540.74	0	0	0
Site_R20_C5	2D	1	1602054	6828703.3	1602054	6829426.7	800	723.4	718.81	1.5	iso	2D	800	-36.17	36.17	1	-7.26	711.55	1.01	7.26	0	44.0903	720.68	0	0	0
Site_R20_C6	1D	1	1602054	6824473.3	1602054	6825376.7	1000	903.4	893.24	1.5	iso	1D	1000	-18.068	18.068	1	-1.55	891.69	0.17	1.55	0	44.5317	900.77	0	0	0
Site_R91_C1	2D	-1	1921553.55	6845604	1921553.55	6845646	2030	42	53.91	1	iso_le	pw	60	-5	5	1	-2.77	51.14	5.14	5.44	0	19.7656	42.4	0	0	0
Site_R91_C2	2D	-1	1921553.55	6841462.4	1921553.55	6841507.7	2035	45.3	67.58	0.2	iso_le	2D	70	-5	5	1	-7.37	60.21	10.91	7.37	0	22.5043	51.48	0	0	2.36976
Site_R91_C3	2D	-1	1921550	6837845	1921550	6836845	2040	63	67.22	1	iso_le	vrf	80	-5	5	1	-1.59	65.63	2.37	1.59	0	24.0768	56.94	0	0	0
Site_R91_C4	2D	-1	1921553.55	6833178.7	1921553.55	6833231.3	2045	52.6	77.59	1	iso_le	2D	90	-5	5	1	-3.33	74.26	4.29	3.33	0	27.0474	65.21	0	0	0
Site_R91_C5	2D	-1	1921550	6829565	1921550	6828565	2050	81	87.7	1	iso_le	vrf	100	-5	5	1	-3.92	83.78	4.47	3.92	0	29.9711	74.13	0	0	0
Site_R91_C6	2D	-1	1921553.55	6824888.8	1921553.55	6824961.2	2060	72.4	106.63	1	iso_le	2D	120	-5	5	1	-5.33	101.3	5	5.33	0	32.6864	89.71	0	0	0.00334153
Site_R92_C1	2D	-1	1926050	6846125	1926050	6845125	2070	117	126.51	1	iso_le	vrf	140	-5.85	5.85	1	-5.85	120.66	4.62	5.85	0	31.6269	106.62	0	0	0
Site_R92_C3	2D	-1	1926053.55	6837280.1	1926053.55	6837409.9	2100	129.8	181.95	1	iso_le	2D	200	-6.49	6.49	1	-5.02	176.93	2.76	5.02	0	35.9313	157.76	0	0	0
Site_R92_C4	2D	-1	1926050	6833705	1926050	6832705	2120	207	217.64	1	iso_le	vrf	240	-10.35	10.35	1	-3.88	213.76	1.78	3.88	0	34.8013	193.31	0	0	0
Site_R92_C5	2D	-1	1926053.55	6828955.2	1926053.55	6829174.8	2150	219.6	274.28	1	iso_le	2D	300	-10.98	10.98	1	-6.95	267.33	2.53	6.95	0	33.4244	247.15	0	0	0
Site_R92_C6	2D	-1	1926050	6825425	1926050	6824425	2200	351	363.37	1	iso_le	vrf	400	-17.55	17.55	1	-5.98	357.39	1.64	5.98	0	33.032	337.02	0	0	0
Site_R93_C1	2D	-1	1930554	6845602.7	1930554	6845647.3	2030	44.6	51.86	1	iso_le	2D	60	-5	5	1	3.22	55.08	6.22	3.22	0	20.2505	46.61	0	0	0
Site_R93_C2	2D	-1	1930553.95	6841460.1	1930554	6841509.9	2040	49.8	69.92	1	iso_le	2D	80	-5	5	1	-1.67	68.25	2.39	1.67	0	24.9879	59.8	0	0	0
Site_R93_C3	2D	-1	1930554	6837315.2	1930553.95	6837374.8	2050	59.6	84.75	1	iso_le	2D	100	-5	5	1	1.92	86.67	2.27	1.92	0	30.647	77.02	0	0	0
Site_R93_C4	2D	-1	1930554	6833161.6	1930554	6833248.4	2070	86.8	123.59	1	iso_le	2D	140	-5	5	1	-0.57	123.02	0.46	0.57	0	36.1613	108.87	0	0	0
